Resolution = 3840 2160
|Click | 0:00:00 |(1615, 1843)| 11:48:49
|Click | 0:00:01 |(2657, 1873)| 11:48:50
|Click | 0:00:01 |(3280, 865)| 11:48:51
|Click | 0:00:00 |(2065, 634)| 11:48:51
|Click | 0:00:02 |(1263, 845)| 11:48:53
|Click | 0:00:11 |(1314, 1227)| 11:48:54
|Keyboard | 0:00:03 q 11:48:57
|Click | 0:00:01 |(1451, 866)| 11:48:58
|Click | 0:00:01 |(1451, 866)| 11:48:59
|Keyboard | 0:00:02 / 11:49:01
|Keyboard | 0:00:00 / 11:49:01
|Keyboard | 0:00:01 / 11:49:02
|Keyboard | 0:00:02 space 11:49:04
|Keyboard | 0:00:00 space 11:49:04
|Keyboard | 0:00:06 . 11:49:10
|Keyboard | 0:00:22 . 11:49:32
|Keyboard | 0:00:12 w 11:49:44
|Click | 0:00:02 |(1158, 1242)| 11:49:46
|Click | 0:00:01 |(1158, 1242)| 11:49:47
|Click | 0:00:05 |(2613, 774)| 11:49:52
|Keyboard | 0:00:08 / 11:50:00
|Keyboard | 0:00:07 / 11:50:07
|Click | 0:00:02 |(1824, 1249)| 11:50:09
|Keyboard | 0:00:17 q 11:50:26
|Click | 0:00:01 |(1844, 1333)| 11:50:27
|Click | 0:00:01 |(1844, 1333)| 11:50:28
|Keyboard | 0:00:10 / 11:50:38
|Keyboard | 0:00:11 / 11:50:49
|Keyboard | 0:00:07 . 11:50:56
|Keyboard | 0:00:11 . 11:51:07
|Keyboard | 0:00:42 / 11:51:49
|Click | 0:00:14 |(1544, 1385)| 11:52:03
|Keyboard | 0:00:15 q 11:52:18
|Click | 0:00:01 |(1393, 1357)| 11:52:19
|Click | 0:00:08 |(1434, 1307)| 11:52:27
|Keyboard | 0:00:02 / 11:52:29
|Keyboard | 0:00:00 / 11:52:29
|Keyboard | 0:00:07 . 11:52:36
|Keyboard | 0:00:01 . 11:52:37
|Keyboard | 0:00:26 / 11:53:03
|Keyboard | 0:00:52 / 11:53:55
|Click | 0:00:03 |(1510, 866)| 11:53:58
|Keyboard | 0:00:52 / 11:54:50
|Keyboard | 0:00:04 q 11:54:54
|Click | 0:00:03 |(1110, 946)| 11:54:57
|Click | 0:00:01 |(1110, 946)| 11:54:58
|Keyboard | 0:00:01 / 11:54:59
|Keyboard | 0:00:01 / 11:55:00
|Keyboard | 0:00:00 . 11:55:00
|Keyboard | 0:00:05 . 11:55:05
|Keyboard | 0:00:13 / 11:55:18
|Keyboard | 0:00:50 / 11:56:08
|Click | 0:00:02 |(1938, 671)| 11:56:10
|Click | 0:00:33 |(1841, 1231)| 11:56:43
|Keyboard | 0:00:00 / 11:56:43
|Click | 0:00:01 |(1899, 618)| 11:56:44
|Click | 0:01:21 |(1875, 284)| 11:58:05
|Click | 0:00:01 |(1875, 284)| 11:58:06
|Click | 0:00:00 |(1875, 284)| 11:58:06
|Click | 0:00:01 |(1875, 284)| 11:58:07
|Click | 0:00:01 |(1904, 1828)| 11:58:08
|Click | 0:00:02 |(1444, 1684)| 11:58:10
